Column1,Column2,Column3
U.E.L.C.A.,United Evangelical Lutheran Church in Australia,
UETS/EFR,Universal Ethernet Telecommunications Service/Ethernet Fabric Routing,
UGA MAREX,University of Georgia Marine Extension Service,
U.G.L.E.,United Grand Lodge of England,
UHAG/UTMI,Unie van Hand-en Geestesarbeiders/Union des Travailleurs Manuels et Intellectuels,
UHF SATCOM,Ultra High Frequency Satellite Communications System,
UHV-LT-STM,ultra-high-vacuum low-temperature Scanning Tunneling Microscope,
UK ASACS,United Kingdom Air Surveillance and Control System,
UK.BMX.A,UK BMX Association,
U.K.C.P.,United Kingdom Council for Psychotherapy,
UK/NL LF,United Kingdom/Netherlands Landing Force,
UKRPOLBAT,Ukrainian-Polish Battalion,
ULTIMATUM,Underground Liberated Totally Integrated Mobile Army To Unite Mankind,
ULTRAMAN,Ultraman The Next,
UMAP-CHED,University Mobility in Asian and the Pacific-Commission on Higher Education,
UMCC MUD,University of Michigan Computer Club MUD,
UMMSM@FAU,University of Miami Miller School of Medicine at FAU,
UMNO YOUTH,United Malays National Organisation for Youth,
UNADENIC,Universidad Adventista de Nicaragua,
UNAVEM III,United Nations Angola Verification Mission III,
UNAVEM II,UN Angola Verification Mission,
UNAVEM II,United Nations Angola Verification Mission II,
UNAVEM I,United Nations Angola Verification Mission I,
UNCAFENIC,Unión de Cafetaleros de Nicaragua,
UN CEDAW,UN Convention on the Elimination of All Forms of Discrimination Against Women,
UN/CEFACT,United Nations Center for Trade Facilitation and Electronic Business,
UN/CEFACT,United Nations Centre for Trade Facilitation and Electronic Business,
UNCITRAL,UN Commission on International Trade Law,
UNCITRAL,United Nations Commission for International Trade Law,
UNCITRAL,United Nations Commission on International Trade Law,
U.N.C.L.E.,United Network Command for Law and Enforcement,
UNCOPUOS,United Nations Committee of Peaceful Use of Outer Space,
UN-COPUOS,United Nations Committee on Peaceful Uses of Outer Space,
U.N.E.A.C,Union de Escritores y Artistas de Cuba,
UN-ECAFE,United Nations Economic Commission for Asia and the Far East,
UN-ECOSOC,United Nations Economic and Social Counsel,
UNEP-WCMC,United Nations Environment Programme World Conservation Monitoring Centre,
UNEP WCM,UN Environment Programme World Conservation Monitoring Centre,
UNEP/WMO,United Nations Environment Programme/World Meteorological Organization,
U.N.G.C.C.,United Nations Godzilla Countermeasures Center,
UNIA-ACL,Universal Negro Improvement Association and African Communities League,
UNICARIBE,Universidad del Caribe,
UNICENTRO,Universidade Estadual do Centro-Oeste do Paraná,
UNICRATT,United Nations International Critical Response and Tactical Team,
UNICROSS,University of Cross River State,
UNI-EUROPA,Union Network International - Europa,
UNIFEM-SARO,UNIFEM South Asia Regional Office,
UNIFICYP,United Nations Peacekeeping Force in Cyprus,
UNIFIL-HK,United Filipinos in Hong Kong,
UNIGAMES,University Games,
UNIGRANRIO,Universidade do Grande Rio,
UNI-LEONE,Universal of Sierra Leone,
UNIMONTES,University of Montes Claros,
UNIOESTE,Universidade Estadual do Oeste do Paraná,
UNIPAMPA,Universidade Federal do Pampa,
UNIPSAWU,United National Public Servants Association of South Africa and Allied Workers Union,
UNIREMOS,Universidad Eugenio María de Hostos,
UNISINOS,Universidade do Vale do Rio dos Sinos,
UNISINOS,University of Vale do Rio dos Sinos,
UNISOM I,United Nations Operation in Somalia I,
UNISULMA,Unidade de Ensino Superior do Sul do Maranhão,
U.N.I.T.A.R.,United Nations Institute for Training and Research,
U.N.I.T.E,United Nations Intelligence and Tactical Experts,
UNIVERSE,Universe,
UNIVERSO,Universidade Salgado de Oliveira,
UNIVILLE,Universidade da Regiao de Joinville,
UNM-ISNPS,University of New Mexico Institute for Space and Nuclear Power Studies,
UN-NADAF,United Nations New Agenda for the Development of Africa in the 1990's,
UNOSOM II,United Nations Operation in Somalia II,
UNOSOM I,United Nations Operation in Somalia I,
UNPREDEP,United Nations Preventive Deployment Force,
UNPREDEP,UN Preventive Deployment Force,
UNPROFOR,United Nation Protection Force,
UNPROFOR,United Nations Protection Force,
UNPROFOR,United Nations Protection Forces,
UNPROFOR,UN Protection Force,
UNPROFOR,UN Protection Forces in Bosnia,
UNPROFOR,UN Protective Force,
U.N.S.S.U.,United Nations Special Service Unit,
UNU-BIOLAC,UNU - Programme for Biotechnology in Latin America and the Caribbean,
UNU-CRIS,UNU - Programme for Comparative Regional Integration Studies,
UNU/ICTP PFF,United Nations University / International Centre for Theoretical Physics Plasma Fusion Facility,
UNU-IIST,United Nations University / International Institute for Software Technology,
UNU-IIST,United Nations University International Institute for Software Technology,
UNU-IIST,UNU - International Institute for Software Technology,
UNU-INRA,UNU - Institute for Natural Resources in Africa,
UNU-INTECH,United Nations University-Institute of New Technology,
UNU-MERIT,UNU - Maastricht Economic and Social Research and Training Centre on Innovation and Technology,
UNU-WIDER,United Nations University - World Institute for Development Economics Research,
UNU-WIDER,United Nations University-World Institute for Development Economics Research,
UNU-WIDER,UNU - World Institute for Development Economics Research,
UOB-SESDAQ,United Overseas Bank SESDAQ,
UP ALCHEMES,UP Academic League of Chemical Engineering Students,
UP BREHA,UP Baguio Residence Hall Association,
UP CIRCA,UP Circle of Administrators,
UP CREST,UP Circle of Engineering Students,
UP CURSOR,UP Association of Computer Science Majors,
UP ECOSOC,UP Economics Society,
UPEI ISM,UPEI Independent Student Media Society,
UPEL-IPM,Universidad Pedagógica Experimenta Libertador-Instituto Pedagógico de Maturín,
UP FLIPP,UP Future Library and Information Professionals of the Philippines,
UPHS-GMA,University of Perpetual Help Jonelta System-GMA Campus,
UP ICTUS,UP In-Christ Thrust for University Students,
U.P. ICW,University of the Philippines Institute of Creative Writing,
UP LIKAS,UP Lipunang Pangkasaysayan,
UP LISSA,UP Library and Information Science Students Association,
UPMC-ACT,University of Pittsburgh Medical Center/America's Cycling Team,
UP-NISMED,University of the Philippines-National Institute for Science and Mathematics Education Development,
UP POLITICA,UP People-Oriented Leadership in the Interest of Community Awareness,
UP PRIME,UP Progressive Responsive Innovative Movement in Engineering,
UP SALIN,UP Samahang Linggwistiks,
UP SMMART,UP Science and Mathematics Majors Advocating Responsible Teaching,
USAA-CIC,USAA-Casualty Insurance Company,
U.S.A.A.F.,United States Army Air Forces,
USACAPOC,United States Army Civil Affairs and Psychological Operations Command,
USACAPOC,US Army Civil Affairs and Psychological Operations Command,
U.S.A.D.,United States Academic Decathlon,
USAF ADS,USAF Air Demonstration Squadron,
USAFCENT,United States Air Forces Central,
USAFRICOM,United States Africa Command,
USAFRICOM,US Africa Command,
U.S.A.F.,United States Air Force,
USAJFKSWCS,United States Army John Fitzgerald Kennedy Special Warfare Center and School,
USAMCAEUR,United States Army Movements Control Agency - Europe,
USAMRICD,United States Army Medical Research Institute of Chemical Defense,
USAMRIID,United States Army Medical Research Institute for Infectious Diseases,
USAMRIID,United States Army Medical Research Institute of Infectious Diseases,
USAMRIID,United States Army Military Research Institute for Infectious Diseases,
USAMRIID,US Army Medical Research Institute for Infectious Diseases at Fort Detrick,
USAMRIID,US Army Medical Research Institute of Infectious Diseases,
USAMRIID,US Army's Medical Research Institute for Infectious Diseases,
USAMRU-K,United States Army Medical Research Unit-Kenya,
USANORTH,United States Army North,
USARADCOM,US Army Air Defense Command,
USARSPACE,US Army Space and Missile Defense Command,
USARSTRAT,US Army Forces Strategic Command,
USA SETAF,US Army Southern European Task Force,
USB-CABBG,Union de Stade Bordelais - Club Athlétique Bordeaux-Bègles,
U.S.C.C.A.N.,United States Code Congressional and Administrative News,
USCENTAF,United States Central Command Air Forces,
U.S.CENTCOM,United States Central Command,
US CENTCOM,United States Central Command,
USCENTCOM,United States Central Command,
USCENTCOM,US Central Command,
USCINCLANT,US Commander-in-Chief Atlantic,
USCINCPAC,United States Commander in Chief Pacific Forces,
U.S.C.T.,United States Colored Troops,
USINDOOR,United States Indoor Soccer Association,
USMEPCOM,United States Military Entrance Processing Command,
U.S.S.E.F.,United States Ski Education Foundation,
USSOCCENT,United States Special Operations Command Central,
USSOUTHCOM,United States Southern Command,
USSOUTHCOM,US Southern Command,
USSOUTHOM,United States Southern Command,
USSPACEAF,US Space Air Force,
USSPACECOM,United States Space Command,
U.S.S.R.,Union of Soviet Socialist Republics,
U.S.S.R.,Union of Soviet Socialists Republics,
USSTRATCOM,United States Strategic Command,
USSTRATCOM,United States Strategic Command's,
USSTRATCOM,United States Strategic Command’s,
USSTRATCOM,US Strategic Command,
U.S.T.A.,United States Tumbling & Trampoline Association,
USTFCCCA,United States Track and Field & Cross Country Coaches Association,
USTRANSCOM,United States Transportation Command,
USTRANSCOM,US Transportation Command,
USTVFCAC,Upper Saucon Township Volunteer Fire Company Ambulance Corps,
US-VISIT,United States Visitor and Immigrant Status Indicator Technology,
U.T.H.R.,University Teachers for Human Rights,
UTN-FRLP,Universidad Tecnológica Nacional - Facultad Regional La Plata,
UW-COGSCI,University of Würzburg Cognitive Science Group,
V.A.A.A.,Victorian Amateur Athletic Association's,
V.A.F.A.,Victorian Amateur Football Association,
VCR/LTER,Virginia Coast Reserve Long-Term Ecological Research,
VENCEMOS,Venezolana de Cementos,
VHDL-AMS,VHDL Analog and Mixed-Signal Extensions,
V.I.K.I.,Virtual Interactive Kinetic Intelligence,
V.I.L.E.,Villains' International League of Evil,
V.M.F.G.,Victorian Motorless Flight Group,
VR-55100,VRS-55100 in Canada,
VTOL/STOL,Vertical Take-Off and Landing / Short Take-Off and Landing,
WAAKE-UP!,World Awareness and Action Koalition of Equal United Progressives,
W.A.C.S.,Westminster Abbey Choir School,
WAI-ARIA,Web Accessibility Initiative - Accessible Rich Interactive Applications,
W.A.S.P.A,Wireless Application Service Providers Association,
WAZA,World Association of Zoos and Aquariums,
W.C.G.S.,Wallington County Grammar School,
WESTMINCOM,Western Mindanao Command,
WEVR-MRC,WEVR-MRCWestchester Emergency Volunteer Reserves-Medical Reserves Corps,
W.G.K.F.,World Genseiryu Karatedo Federation,
W.G.L.B.,Women's Grand Lodge Of Belgium,
WHO-AIMS,World Health Organization Assessment Instrument for Mental Health Systems,
WIA,Windows Image Acquisition,
W.I.C.S.,World Islamic Call Society,
W.I.D.A.,World Irish Dance Association,
W.I.I.F.M,What's In It For Me,
W.I.N.A.,World Indoor Netball Association,
W.I.S.E.,Worcester Institute for Senior Education,
WMDRM-ND,Windows Media DRM for Network Devices,
WMDRM-PD,Windows Media DRM for Portable Devices,
W.O.M.E.N.,Women Organized for a Morally Enlightened Nation,
WORLDPAC,World Wide Parts And Accessories Corporation,
W.O.R.T.H.,Women's Organization of Rebirth Through Healing,
WRAT III,Wide Range Achievement Test III,
WRI/WBCSD,World Resources Institute/World Business Council for Sustainable Development,
W.R.L.I.S,Woman's Round Lake Improvement Society,
W.S.G.A.,Women's Student Government Association,
WS-PAEPR,Web Services Policy Attachment for Endpoint Reference,
W.S.P.U.,Women's Social and Political Union,
WUACADEMIA,World and Universal Academia,
WYSE/JETS,Worldwide Youth in Science and Engineering/Junior Engineering Technical Society,
XCRI-CAP,XCRI Course Advertising Profile,
XHTML MP,XHTML Mobile Profile,
Y.A.R.R.,Young Adult Race Relations,
YEASTRACT,Yeast Search for Transcriptional Regulators And Consensus Tracking,
YIPL/TAP,Youth International Party Lines/Technological Assistance Program,
YMRCIGBA,Young Men's Reformed Cultists of the Ichor God Bel-Shamharoth Association,
Y.R.A.A.,York Region Athletic Association,
Y.R.S.S.A.A.,York Region Secondary Schools Athletic Association,
ZIMPREST,Zimbabwe Programme for Economic and Social Transformation,
Z.O.T.T.,Zenith of Things Tournament,
U.S.A.,United States of America,
